Curve Name,Curve Length (um),Average Curvature (um-1),Curvature Std (um-1),X-Coordinate (um),Y-Coordinate (um),Point Curvature (um-1),Point Curvature Sign,Red Intensity,Green Intensity,Blue Intensity,,radius in nm,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02135,0.153225,171.3983389,1,110,110,110,,10.42088902,,,radius in nm,std 
CURVE 1,0.164809199,95.96110252,128.1603138,0.021355896,0.153245494,170.8720157,1,110,110,110,,10.42088902,,curve 1,10.420889,128.1603138
CURVE 1,0.164809199,95.96110252,128.1603138,0.021361865,0.153265961,170.3290368,1,110,110,110,,10.42088902,,curve 2,12.06801692,113.9113623
CURVE 1,0.164809199,95.96110252,128.1603138,0.021367907,0.153286401,169.7695903,1,110,110,110,,10.42088902,,curve 3,16.24341472,59.74614231
CURVE 1,0.164809199,95.96110252,128.1603138,0.021374021,0.153306815,169.1938698,1,115,115,115,,10.42088902,,curve 4,16.0450278,63.54248004
CURVE 1,0.164809199,95.96110252,128.1603138,0.021380208,0.153327203,168.6020737,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021386467,0.153347565,167.994406,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021392798,0.153367902,167.3710755,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.0213992,0.153388214,166.7322954,1,115,115,115,,10.42088902,,curve 4,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021405675,0.153408501,166.0782839,1,115,115,115,,10.42088902,,,Point Curvature (um-1),
CURVE 1,0.164809199,95.96110252,128.1603138,0.02141222,0.153428764,165.4092635,1,115,115,115,,10.42088902,,cusp 1,177.5845,5.631122086
CURVE 1,0.164809199,95.96110252,128.1603138,0.021418837,0.153449004,164.7254606,1,115,115,115,,10.42088902,,cusp 2,192.808,5.186506784
CURVE 1,0.164809199,95.96110252,128.1603138,0.021425524,0.153469219,164.0271059,1,115,115,115,,10.42088902,,cusp 3,127.74,7.82840144
CURVE 1,0.164809199,95.96110252,128.1603138,0.021432282,0.153489412,163.3144337,1,115,115,115,,10.42088902,,cusp 4,296.79,3.369385761
CURVE 1,0.164809199,95.96110252,128.1603138,0.021439111,0.153509581,162.5876818,1,115,115,115,,10.42088902,,cusp 5,222.06,4.5032874
CURVE 1,0.164809199,95.96110252,128.1603138,0.02144601,0.153529728,161.8470918,1,115,115,115,,10.42088902,,cusp 6,132.75,7.532956685
CURVE 1,0.164809199,95.96110252,128.1603138,0.021452979,0.153549854,161.0929083,1,115,115,115,,10.42088902,,cusp 7,177.58,5.631264782
CURVE 1,0.164809199,95.96110252,128.1603138,0.021460017,0.153569957,160.3253787,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021467125,0.153590039,159.5447536,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021474303,0.1536101,158.7512861,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02148155,0.15363014,157.9452314,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021488866,0.15365016,157.1268475,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02149625,0.15367016,156.2963947,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021503703,0.15369014,155.4541339,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021511224,0.153710101,154.6003291,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021518814,0.153730044,153.735245,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021526471,0.153749967,152.8591475,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021534196,0.153769873,151.9723041,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021541988,0.153789761,151.0749837,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021549848,0.153809631,150.1674545,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021557775,0.153829484,149.249987,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021565768,0.153849321,148.3228508,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021573828,0.153869141,147.3863162,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021581955,0.153888945,146.4406537,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021590147,0.153908733,145.4861344,1,109,109,109,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021598406,0.153928506,144.5230276,1,109,109,109,,10.42088902,,,,
